name,grade,climb_angle,climb_style,description
Shark Tooth,8,overhanging,steep,"From an obvious sit, left hand on the arete and right on a slanting, glassy sidepull, climb the arete trending slightly right to finish.  A sustained and very good problem."
Secrets Of The Lake Project,9,overhanging,face,Start on a low edge/undercling and go up the face trending right.  Couple of obvious crimps on the face.
There is no White Knight,7,vertical,technical,"There is no White Knight is a sit start from a positive crimp rail. After two really hard crimp moves, you move to the triangle ledge and up the fun topout. This is a very fun dihedral, despite being a short problem. The topout features engaging moves on comfy holds."
Sail Away,7,overhanging,steep,Hard start.  Stand start with high right hand on arete and left down on pinch.  Get your feet established and crank up and out overhang of boulder. The upper moves are fantastic!   There is a jump start that skips the first hard move.  V4/5
Krishna,8,overhanging,steep,Start left hand on lower sidepull crimp and right hand around the arete higher on a good sidepull. Make a move into a larger sidepull then hold tension to work through the lip and slopers on the face of the boulder. A short but sweet boulder that requires you maintain tension throughout.
There are Two,8,overhanging,steep,"The sit start to ""There's No White Knight.""  Start seated with a juggy right hand pinch under the roof and your left hand on a thin edge."
Green Haze,8,overhanging,dyno,"Direct start to Green Fire.    SDS with left hand on blocky gaston on arete and right hand on good edge, and move up to side-pull.  Set feet and toss up to crimp on Green Fire.  Top-out."
Full Sail,10,overhanging,face,"Sit start with your right hand on a good, sharp crimp just left of the arete and your left hand on a lower edge. Climb into ""Sail Away."""
Midwest Connection,0,slab,face,"This is the large slab that is at the north-west end of the talus field. We climbed the cleaner looking slab face on the left, but there is the possibility to finish out right. The rock quality is very questionable though on the right side, and most likely should be avoided."
Galapagos,1,vertical,face,Stand start with left hand jug-edge and right hand crimp edge. Work your way out to the jug on the face then top out.
All Along The Messenger Shore,1,vertical,crack,Start on obvious jugs in the crack and go straight up to a small series of crimps.  Top out around the nose of the boulder.
The Glass Bench,1,slab,technical,"Head up the low angle slab to the base of the hanging block. Use both aretes to gain a very committing smear foot. A few more bumps, bad feet, and a toehook leads to a victory jug and a cruiser finish."
Over the Garden Wall,3,vertical,technical,"Sit start on the white crimp and a lower slopey edge. Continue directly up the face using a series of faint crimps, while avoiding crack to the left."
Cloven Hoof,6,overhanging,steep,Start on a large jug feature below the roof. Work through a series of slopers and non-holds to the lip.
Baphomet (Project),10,overhanging,dyno,An extremely obvious and difficult line that exits a ~45 degree overhang. Sit start on low jug rail. A series of left hand crimps and right hand sloper/compression features leads to a huge throw to a full pad edge. Topout using another set of decent slopers.
Massive Vertigo,6,overhanging,steep,"Start on the crimp rail towards the bottom of the pit and climb up and left to the sloper on the arete.  Go up from here.    Ed:  Originally given V8, new/easier beta has been found (see below-- sweaty's video is him doing the original V8)."
Remo's Sacrifice,4,overhanging,steep,"Super proud!  Stand start with steep arete and gain sloper.  Toss out right to good hold and hike up to small crimps above the lip.  Finish move is super committing.   A sit start should be added for full value and added difficulty, but the holds were too wet for us to try."
Tunder Tighs,7,overhanging,steep,"Start left hand on good edge and right hand on pinch rail. Using some tensiony heel hooks and compression, make huge moves up to the lip then up and over."
"Puke, Master-flash",7,overhanging,steep,Start left hand on good ledge and jump for right hand edge.  Get your feet on and move up boulder with a big cross-over move to a jug.  Powerful moves and props to Aaron for this contribution.    Starting lower with both hand below is still an awesome open project.
Fontesque,9,vertical,technical,"Start underneath the arete with left hand on a toothlike hold and right on a pinch undercling.  Climb the arete with balance, gain the obvious holds on the face and top out.  This is also on here as the impossiproject."
Nausea,10,vertical,face,"Start the same as ""Tunder Tighs"" and climb directly up the face with a small pit underneath you..  Formerly the ""Big Boy Project"""
Fearful Symmetry,9,overhanging,crack,"Formerly the ""Crack of Doom"" project.  Begin with your left hand in the crack and right hand on a jug sidepull.  Make an easy move before diving into five moves of powerful yet technical climbing.  A committing layback move guards the lip.  Proud!"
Elbow Room,3,overhanging,steep,Start with right hand in slot and left on crimp.  Set left foot and gun for pocket.  A couple more big moves get you to a heady top-out.  Fun!
High Room,4,overhanging,steep,"Same start as High-Low.  At good edge, bump out to pocket and finish up on Elbow Room.  Fun link-up!"
The Warbler,4,overhanging,steep,Start under roof with right hand jug and left had pinch.  Set feet and make a big move to a good edge.  Move right through pinches and slopers to top-out.   Really fun movement!
Manta Ray,7,overhanging,steep,"A pure line, definitely cool, and very unique.  Start hanging from the edge near the arete and surmount the hanging block feature. Hint: We campused left for the first move and threw a heal hook.."
Whetstone,5,overhanging,steep,Stand start on the obvious sloper rail. Climb up the steep wall to a crux topout.
North by Northwest,2,vertical,face,"From a stand with a ledge, climb the tall arete.  Pads and spotters recommended.  Tall and committing near the top."
Sir Mix Alot,4,overhanging,steep,"Starting right hand on jug and left hand on a cool pinch old on the arete, climb out the steep arete doing some awesome and fun moves then do an interesting topout above the boulder."
Smooth Operator,4,vertical,technical,"Stand start with good side-pulls and work your way up left to slopey arete, finish the slick top-out.  Super cool."
